STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10
USW00014732,"LAGUARDIA AIRPORT, NY US",6/14/2019,13.42,,0,,0,0,65,76,61,290,270,25.1,33.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/15/2019,11.63,,0,,0,0,73,84,62,200,250,23,32,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/16/2019,9.17,,0.03,,0,0,75,83,68,220,230,19.9,29.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/17/2019,6.26,,0,,0,0,74,76,70,30,60,15,19,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/18/2019,6.93,,0.63,,0,0,71,75,65,60,50,17,19.9,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/19/2019,6.93,,0.06,,0,0,68,72,64,80,60,12.1,19.9,1,1,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/20/2019,7.83,,0.91,,0,0,67,78,62,150,160,16.1,21.9,1,1,1,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/21/2019,12.97,,0.54,,0,0,71,78,65,310,350,29.1,35.1,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/22/2019,14.99,,0,,0,0,72,80,63,330,320,23.9,31.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/23/2019,10.51,,0,,0,0,75,86,67,310,270,17,21.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/24/2019,7.61,,0,,0,0,79,86,70,190,210,17,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/25/2019,6.26,,0.42,,0,0,77,87,71,120,70,14.1,19,1,1,1,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/26/2019,6.04,,0,,0,0,79,90,69,270,250,15,19.9,1,1,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/27/2019,6.93,,0,,0,0,82,90,72,320,320,17,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/28/2019,5.59,,0,,0,0,83,93,71,160,150,16.1,19,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/29/2019,8.5,,0.04,,0,0,83,94,76,310,300,29.1,34,,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/30/2019,14.32,,0.02,,0,0,78,85,71,320,320,31.1,40,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",7/1/2019,9.4,,0,,0,0,76,88,67,250,250,15,19.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",7/2/2019,6.71,,0.01,,0,0,81,88,75,290,290,19.9,23.9,,,,,,,,,,
