STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10
USW00014739,"BOSTON, MA US",6/29/2019,6.26,,1.65,,0,,77,87,68,,10,20,,38,53.9,1,,1,,1,,,,
USW00014739,"BOSTON, MA US",6/30/2019,10.51,,0.16,,0,,73,78,65,,310,300,,23.9,36,,,1,,,,,,
USW00014739,"BOSTON, MA US",7/1/2019,8.95,,0,,0,,71,84,64,,330,330,,16.1,21,,,,,,,,,
USW00014739,"BOSTON, MA US",7/2/2019,9.4,,0,,0,,79,87,73,,290,270,,16.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",7/3/2019,7.83,,0,,0,,80,86,73,,120,110,,14.1,17,,,,,,,,,
USW00014739,"BOSTON, MA US",7/4/2019,5.82,,0,,0,,79,84,73,,220,100,,12.1,14.1,,,,,,,,,
USW00014739,"BOSTON, MA US",7/5/2019,9.84,,0,,0,,81,90,71,,240,240,,18.1,23,,,,,,,,,
USW00014739,"BOSTON, MA US",7/6/2019,11.41,,1.37,,0,,82,95,75,,320,330,,25.1,32,1,,1,,,,,,
USW00014739,"BOSTON, MA US",7/7/2019,10.29,,0,,0,,73,77,67,,30,30,,21,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",7/8/2019,7.83,,0,,0,,71,76,66,,80,80,,13,15,,,,,,,,,
USW00014739,"BOSTON, MA US",7/9/2019,8.5,,0,,0,,78,89,69,,260,290,,14.1,19.9,,,,,,,,,
USW00014739,"BOSTON, MA US",7/10/2019,7.61,,0,,0,,80,88,73,,100,100,,16.1,19,,,,,,,1,,
USW00014739,"BOSTON, MA US",7/11/2019,10.51,,0.02,,0,,77,86,71,,200,190,,23.9,30,1,,,,,,1,,
USW00014739,"BOSTON, MA US",7/12/2019,5.82,,0.81,,0,,74,82,69,,30,20,,15,19,1,,1,,,,,,
USW00014739,"BOSTON, MA US",7/13/2019,9.4,,0,,0,,78,89,72,,140,270,,15,19.9,,,,,,,,,
USW00014739,"BOSTON, MA US",7/14/2019,10.51,,0,,0,,83,91,74,,330,280,,18.1,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",7/15/2019,10.96,,0,,0,,79,87,71,,270,310,,18.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",7/16/2019,8.95,,0,,0,,80,90,71,,240,280,,17,21.9,,,,,,,,,
USW00014739,"BOSTON, MA US",7/17/2019,10.29,,0.43,,0,,83,92,74,,200,190,,21,25.1,1,,1,,,,,,
USW00014739,"BOSTON, MA US",7/18/2019,9.84,,0.04,,0,,73,78,67,,50,50,,21,25.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",7/19/2019,9.4,,0,,0,,75,93,66,,220,250,,18.1,25.9,,,,,,,,,
USW00014739,"BOSTON, MA US",7/20/2019,9.84,,0,,0,,89,97,80,,240,250,,16.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",7/21/2019,13.87,,0,,0,,90,98,83,,290,250,,21.9,29.1,,,,,,,,,
USW00014739,"BOSTON, MA US",7/22/2019,11.41,,0.85,,0,,81,84,67,,50,50,,25.1,32,1,,1,,,,,,
USW00014739,"BOSTON, MA US",7/23/2019,11.18,,1.03,,0,,67,71,63,,30,30,,23,29.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",7/24/2019,5.14,,0,,0,,71,77,66,,130,120,,14.1,18.1,,,,,,,,,
USW00014739,"BOSTON, MA US",7/25/2019,8.72,,0,,0,,73,76,69,,100,70,,15,19,,,,,,,,,
USW00014739,"BOSTON, MA US",7/26/2019,7.83,,0,,0,,75,81,67,,200,200,,14.1,18.1,,,,,,,,,
