"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"N180US",187,"Airbus","A321-211",
"N18112",169,"BoeingCo","B757-200PAX",
"N18119",169,"BoeingCo","B757-200PAX",
"N181AN",184,"Boeing","B757-223",
"N181DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N181FE",0,"Boeing","767-300F",
"N181FL",0,"CONVAIR","CV440-CARGO",
"N181GJ",76,"BombardierAerospace","CRJ90C",
"N181PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N181SY",76,"Embraer","ERJ175",
"N181UW",187,"Airbus","A321-211",
"N18220",154,"BoeingCo","B737-800PAX",
"N18223",154,"BoeingCo","B737-800PAX",
"N18243",154,"BoeingCo","B737-800PAX",
"N182AN",182,"Boeing","B757-223",
"N182DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N182FE",0,"Boeing","767-300F",
"N182GJ",76,"BombardierAerospace","CRJ90C",
"N182SY",76,"Embraer","ERJ175",
"N182UW",187,"Airbus","A321-211",
"N183AN",176,"Boeing","B757-223",
"N183DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N183GJ",76,"BombardierAerospace","CRJ90C",
"N183JB",100,"Embraer","E190-100",
"N183SY",76,"Embraer","ERJ175",
"N183UW",187,"Airbus","A321-211",
"N184AN",176,"Boeing","B757-223",
"N184DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N184GJ",76,"BombardierAerospace","CRJ90C",
"N184JB",100,"Embraer","E190-100",
"N184SY",76,"Embraer","ERJ175",
"N184US",187,"Airbus","A321-211",
"N185AN",176,"Boeing","B757-223",
"N185DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N185GJ",76,"BombardierAerospace","CRJ90C",
"N185SY",76,"Embraer","ERJ175",
"N185UW",187,"Airbus","A321-211",
"N1867M",8,"Cessna","CE-560XL",
"N186AN",176,"Boeing","B757-223",
"N186DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N186GJ",76,"BombardierAerospace","CRJ90C",
"N186PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N186SY",76,"Embraer","ERJ175",
"N186US",187,"Airbus","A321-211",
"N187AN",176,"Boeing","B757-223",
"N187DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N187GJ",76,"BombardierAerospace","CRJ90C",
"N187JB",100,"Embraer","E190-100",
"N187PQ",76,"Bombardier","CRJ900-2D24",
"N187SY",76,"Embraer","ERJ175",
"N187US",187,"Airbus","A321-211",
"N188AN",176,"Boeing","B757-223",
"N188DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N188SY",76,"Embraer","ERJ175",
"N188US",187,"Airbus","A321-211",
"N189AN",176,"Boeing","B757-223",
"N189DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N189SY",76,"Embraer","ERJ175",
"N189UW",187,"Airbus","A321-211",
"N1902U",142,"AirbusIndustries","AirbusA320-232",
"N190AA",176,"Boeing","B757-223",
"N190DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N190JB",100,"Embraer","E190-100",
"N190UW",187,"Airbus","A321-211",
"N19117",169,"BoeingCo","B757-200PAX",
"N19130",169,"BoeingCo","B757-200PAX",
"N19136",169,"BoeingCo","B757-200PAX",
"N19141",169,"BoeingCo","B757-200PAX",
"N191AN",176,"Boeing","B757-223",
"N191DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N191FL",0,"CONVAIR","CV440-CARGO",
"N191SY",76,"Embraer","ERJ175",
"N191UW",187,"Airbus","A321-211",
"N192AN",176,"Boeing","B757-223",
"N192DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N192JB",100,"Embraer","E190-100",
"N192SY",76,"Embraer","ERJ175",
"N192US",0,"McDonnellDouglas","DC-9-15F",
"N192UW",187,"Airbus","A321-211",
"N193AN",176,"Boeing","B757-223",
"N193DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N193JB",100,"Embraer","E190-100",
"N193SY",76,"Embraer","ERJ175",
"N193UW",187,"Airbus","A321-211",
"N194AA",176,"Boeing","B757-223",
"N194DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N194SY",76,"Embraer","ERJ175",
"N194UW",187,"Airbus","A321-211",
"N195AN",176,"Boeing","B757-223",
"N195DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N195PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N195SY",76,"Embraer","ERJ175",
"N195US",0,"McDonnellDouglas","DC-9-15F",
"N195UW",187,"Airbus","A321-211",
"N196AA",176,"Boeing","B757-223",
"N196DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N196SY",76,"Embraer","ERJ175",
"N196US",0,"McDonnellDouglas","DC-9-15F",
"N196UW",187,"Airbus","A321-211",
"N197AN",176,"Boeing","B757-223",
"N197DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N197JB",100,"Embraer","E190-100",
"N197PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N197SY",76,"Embraer","ERJ175",
"N197UA",373,"BoeingCo","B747-422PAX",
"N197UW",187,"Airbus","A321-211",
"N198AA",176,"Boeing","B757-223",
"N198DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N198JB",100,"Embraer","E190-100",
"N198SY",76,"Embraer","ERJ175",
"N198UW",187,"Airbus","A321-211",
"N19951",219,"BoeingCo","B787-900PAX",
"N1997A",269,"BOEING","B767-300ER",
"N199AN",176,"Boeing","B757-223",
"N199DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N199SY",76,"Embraer","ERJ175",
"N199UW",187,"Airbus","A321-211",
"N1FE",0,"Bombardier","BD-700-1A10Global600",
"N2002J",200,"AirbusIndustrie","A321-271NX",
"N200NN",76,"Embraer","EMB175",
"N200NV",160,"Boeing","B737-823",
"N200PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N200SY",76,"Embraer","ERJ175",
"N200UU",188,"Boeing","B757-2B7",
"N200WN",143,"THEBOEINGCO","B-737-7H4",
"N2016J",200,"AirbusIndustrie","A321-271NX",
"N2017J",200,"AirbusIndustrie","A321-271NX",
"N201FR",180,"Airbus","320-114",
"N201JQ",76,"Embraer","ERJ-170-200LR",
"N201LV",143,"THEBOEINGCO","B-737-7H4",
"N201NN",76,"Embraer","EMB175",
"N201UU",188,"Boeing","B757-2B7",
"N2027J",200,"AirbusIndustrie","A321-271NX",
"N2029J",200,"AirbusIndustrie","A321-271NX",
"N202FR",180,"Airbus","320-114",
"N202HA",189,"Airbus","A3210200NEO",
"N202JQ",76,"Embraer","ERJ-170-200LR",
"N202NN",76,"Embraer","EMB175",
"N202PS",50,"GE","CRJ200",
"N202SY",76,"Embraer","ERJ175",
"N202UW",188,"Boeing","B757-2B7",
"N202WN",143,"THEBOEINGCO","B-737-7H4",
"N2038J",200,"AirbusIndustrie","A321-271NX",
"N203JB",100,"Embraer","E190-100",
"N203JQ",76,"Embraer","ERJ-170-200LR",
"N203NN",76,"Embraer","EMB175",
"N203SY",76,"Embraer","ERJ175",
"N203UW",188,"Boeing","B757-23N",
"N203WN",143,"THEBOEINGCO","B-737-7H4",
"N204HA",189,"Airbus","A3210200NEO",
"N204JQ",76,"Embraer","ERJ-170-200LR",
"N204NN",76,"Embraer","EMB175",
"N204SY",76,"Embraer","ERJ175",
"N204UA",267,"BoeingCo","B777-222BPAX",
"N204UW",188,"Boeing","B757-23N",
"N204WN",143,"THEBOEINGCO","B-737-7H4",
"N205FR",180,"Airbus","320-214",
"N205HA",189,"Airbus","A3210200NEO",
"N205JQ",76,"Embraer","ERJ-170-200LR",
"N205NN",76,"Embraer","EMB175",
"N205SY",76,"Embraer","ERJ175",
"N205US",0,"McDonnellDouglas","DC-9-32F",
"N205UW",188,"Boeing","B757-23N",
"N205WN",143,"THEBOEINGCO","B-737-7H4",
"N206FR",180,"Airbus","320-214",
"N206JB",100,"Embraer","E190-100",
"N206JQ",76,"Embraer","ERJ-170-200LR",
"N206NN",76,"Embraer","EMB175",
"N206PS",50,"GE","CRJ200",
"N206SY",76,"Embraer","ERJ175",
"N206UA",267,"BoeingCo","B777-222BPAX",
"N206UW",188,"Boeing","B757-2B7",
"N206WN",143,"THEBOEINGCO","B-737-7H4",
"N207AN",76,"Embraer","EMB175",
"N207AX",218,"Boeing","BoeingB767-224ERPAX",
"N207FR",180,"Airbus","320-214",
"N207JQ",76,"Embraer","ERJ-170-200LR",
"N207PS",50,"GE","CRJ200",
"N207SY",76,"Embraer","ERJ175",
"N207UW",188,"Boeing","B757-28A",
"N207WN",143,"THEBOEINGCO","B-737-7H4",
"N208AN",76,"Embraer","EMB175",
"N208CE",9,"Cessna","C-208BCOMBI",
"N208HA",189,"Airbus","A3210200NEO",
"N208JQ",76,"Embraer","ERJ-170-200LR",
"N208SY",76,"Embraer","ERJ175",
"N208US",0,"McDonnellDouglas","DC-9-32F",
"N208WN",143,"THEBOEINGCO","B-737-7H4",
"N20904",219,"BoeingCo","B787-800PAX",
"N209HA",189,"Airbus","A3210200NEO",
"N209JQ",76,"Embraer","ERJ-170-200LR",
"N209NN",76,"Embraer","EMB175",
"N209PS",50,"GE","CRJ200",
"N209SY",76,"Embraer","ERJ175",
"N209UA",267,"BoeingCo","B777-222BPAX",
"N209WN",143,"THEBOEINGCO","B-737-7H4",
"N210FR",180,"Airbus","320-214",
"N210JQ",76,"Embraer","ERJ-170-200LR",
"N210NN",76,"Embraer","EMB175",
"N210UA",291,"BoeingCo","B777-222PAX",
"N210WN",143,"THEBOEINGCO","B-737-7H4",
"N21108",169,"BoeingCo","B757-200PAX",
"N211FR",180,"Airbus","320-214",
"N211JQ",76,"Embraer","ERJ-170-200LR",
"N211NN",76,"Embraer","EMB175",
"N211SY",76,"Embraer","ERJ175",
"N211UA",291,"BoeingCo","B777-222PAX",
"N211WN",143,"THEBOEINGCO","B-737-7H4",
"N212HA",189,"Airbus","A3210200NEO",
"N212JQ",76,"Embraer","ERJ-170-200LR",
"N212NN",76,"Embraer","EMB175",
"N212UA",291,"BoeingCo","B777-222PAX",
"N212WN",143,"THEBOEINGCO","B-737-7H4",
"N2135U",276,"BoeingCo","B777-300ERPAX",
"N2136U",276,"BoeingCo","B777-300ERPAX",
"N2138U",276,"BoeingCo","B777-300ERPAX",
"N213FR",180,"Airbus","320-214",
"N213HA",189,"Airbus","A3210200NEO",
"N213JQ",76,"Embraer","ERJ-170-200LR",
"N213NN",76,"Embraer","EMB175",
"N213PS",50,"GE","CRJ200",
"N213SY",76,"Embraer","ERJ175",
"N213UA",291,"BoeingCo","B777-222PAX",
"N213WN",143,"THEBOEINGCO","B-737-7H4",
"N2140U",276,"BoeingCo","B777-300ERPAX",
"N2142U",276,"BoeingCo","B777-300ERPAX",
"N214AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N214HA",189,"Airbus","A3210200NEO",
"N214JQ",76,"Embraer","ERJ-170-200LR",
"N214NN",76,"Embraer","EMB175",
"N214UA",291,"BoeingCo","B777-222PAX",
"N214WN",143,"THEBOEINGCO","B-737-7H4",
"N215AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N215HA",189,"Airbus","A3210200NEO",
"N215JQ",76,"Embraer","ERJ-170-200LR",
"N215NN",76,"Embraer","EMB175",
"N215NV",177,"Airbus","A320",
"N215PS",50,"GE","CRJ200",
"N215UA",291,"BoeingCo","B777-222PAX",
"N215WE",0,"BOEING","727-2S2F-CARGO",
"N215WN",143,"THEBOEINGCO","B-737-7H4",
"N216FR",180,"Airbus","320-214",
"N216HA",189,"Airbus","A3210200NEO",
"N216JB",100,"Embraer","E190-100",
"N216JQ",76,"Embraer","ERJ-170-200LR",
"N216NN",76,"Embraer","EMB175",
"N216NV",177,"Airbus","A320",
"N216PS",50,"GE","CRJ200",
"N216UA",267,"BoeingCo","B777-222BPAX",
"N216WE",0,"BOEING","727-2S2F-CARGO",
"N216WR",143,"THEBOEINGCO","B-737-7H4",
"N21723",124,"BoeingCo","B737-700PAX",
"N217HA",189,"Airbus","A3210200NEO",
"N217JC",143,"THEBOEINGCO","B-737-7H4",
"N217JQ",76,"Embraer","EMB175",
"N217NN",76,"Embraer","EMB175",
"N217NV",177,"Airbus","A320",
"N217UA",267,"BoeingCo","B777-222BPAX",
"N218HA",189,"Airbus","A3210200NEO",
"N218JQ",76,"Embraer","EMB175",
"N218NN",76,"Embraer","EMB175",
"N218NV",177,"Airbus","A320",
"N218PS",50,"GE","CRJ200",
"N218UA",267,"BoeingCo","B777-222BPAX",
"N218WN",143,"THEBOEINGCO","B-737-7H4",
"N219CY",0,"Boeing","B767-300SF",
"N219JQ",76,"Embraer","EMB175",
"N219NN",76,"Embraer","EMB175",
"N219NV",177,"Airbus","A320",
"N219UA",267,"BoeingCo","B777-222BPAX",
"N219WN",143,"THEBOEINGCO","B-737-7H4",
"N21FE",0,"Bombardier","CHAL-300",
"N220CY",0,"Boeing","B767-300SF",
"N220FR",180,"Airbus","320-214",
"N220HA",189,"Airbus","A3210200NEO",
"N220NN",76,"Embraer","ERJ-175",
"N220NV",177,"Airbus","A320",
"N220PS",50,"GE","CRJ200",
"N220UA",267,"BoeingCo","B777-222BPAX",
"N220WN",143,"THEBOEINGCO","B-737-7H4",
"N221FR",180,"Airbus","320-214",
"N221JQ",76,"Embraer","EMB175",
"N221NN",76,"Embraer","ERJ-175",
"N221NV",177,"Airbus","A320",
"N221PS",50,"GE","CRJ200",
"N221UA",267,"BoeingCo","B777-222BPAX",
"N221WN",143,"THEBOEINGCO","B-737-7H4",
"N222JQ",76,"Embraer","EMB175",
"N222NB",10,"Gulfstream","G450",
"N222NS",76,"Embraer","ERJ-175",
"N222NV",177,"Airbus","A320",
"N222UA",267,"BoeingCo","B777-222BPAX",
"N222WN",143,"THEBOEINGCO","B-737-7H4",
"N223FR",180,"Airbus","A320",
"N223HA",189,"Airbus","A3210200NEO",
"N223JS",50,"GE","CRJ200",
"N223NN",76,"Embraer","ERJ-175",
"N223NV",177,"Airbus","A320",
"N223UA",267,"BoeingCo","B777-222BPAX",
"N223WN",143,"THEBOEINGCO","B-737-7H4",
"N2243U",276,"BoeingCo","B777-300ERPAX",
"N224AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N224NN",76,"Embraer","ERJ-175",
"N224NV",177,"Airbus","A320",
"N224UA",267,"BoeingCo","B777-222BPAX",
"N224WN",143,"THEBOEINGCO","B-737-7H4",
"N2250U",276,"BoeingCo","B777-300ERPAX",
"N225AG",66,"Bombardier","CRJ700-2C10",
"N225AX",218,"Boeing","BoeingB767-224ERPAX",
"N225NN",76,"Embraer","ERJ-175",
"N225NV",177,"Airbus","A320",
"N225UA",267,"BoeingCo","B777-222BPAX",
"N225WN",143,"THEBOEINGCO","B-737-7H4",
"N226CY",0,"Boeing","B767-300SF",
"N226HA",189,"Airbus","A3210200NEO",
"N226JS",50,"GE","CRJ200",
"N226NN",76,"Embraer","ERJ-175",
"N226NV",177,"Airbus","A320",
"N226UA",267,"BoeingCo","B777-222BPAX",
"N226WN",143,"THEBOEINGCO","B-737-7H4",
"N227FR",180,"Airbus","A320",
"N227HA",189,"Airbus","A3210200NEO",
"N227JQ",76,"Embraer","ERJ-170-200LR",
"N227NN",76,"Embraer","ERJ-175",
"N227NV",177,"Airbus","A320",
"N227UA",267,"BoeingCo","B777-222BPAX",
"N227WN",143,"THEBOEINGCO","B-737-7H4",
"N228FR",180,"Airbus","320-214",
"N228HA",189,"Airbus","A3210200NEO",
"N228JB",100,"Embraer","E190-100",
"N228NN",76,"Embraer","ERJ-175",
"N228NV",177,"Airbus","A320",
"N228PC",9,"Cessna","CE-560-560XLSPSGR",
"N228PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N228PS",50,"GE","CRJ200",
"N228UA",267,"BoeingCo","B777-222BPAX",
"N228WN",143,"THEBOEINGCO","B-737-7H4",
"N229FR",180,"Airbus","320-214",
"N229JB",100,"Embraer","E190-100",
"N229NN",76,"Embraer","ERJ-175",
"N229NV",177,"Airbus","A320",
"N229PS",50,"GE","CRJ200",
"N229UA",267,"BoeingCo","B777-222BPAX",
"N229WN",143,"THEBOEINGCO","B-737-7H4",
"N230FR",180,"Airbus","320-214",
"N230JQ",76,"Embraer","EMB175",
"N230NN",76,"Embraer","ERJ-175",
"N230NV",177,"Airbus","A320",
"N230PS",50,"GE","CRJ200",
"N230WN",143,"THEBOEINGCO","B-737-7H4",
"N23139",50,"Embraer","EMB-145",
"N231AN",76,"Embraer","ERJ-175",
"N231JB",100,"Embraer","E190-100",
"N231JQ",76,"Embraer","EMB175",
"N231NV",177,"Airbus","A320",
"N231WN",143,"THEBOEINGCO","B-737-7H4",
"N232FR",180,"Airbus","320-214",
"N232JQ",76,"Embraer","EMB175",
"N232NN",76,"Embraer","ERJ-175",
"N232NV",177,"Airbus","A320",
"N232PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N232WN",143,"THEBOEINGCO","B-737-7H4",
"N2331U",276,"BoeingCo","B777-300ERPAX",
"N2332U",276,"BoeingCo","B777-300ERPAX",
"N2333U",276,"BoeingCo","B777-300ERPAX",
"N233FR",230,"Airbus","320-214",
"N233JQ",76,"Embraer","ERJ-170-200LR",
"N233LV",143,"THEBOEINGCO","B-737-7H4",
"N233NN",76,"Embraer","ERJ-175",
"N233NV",177,"Airbus","A320",
"N2341U",276,"BoeingCo","B777-300ERPAX",
"N234AX",218,"Boeing","BoeingB767-224ERPAX",
"N234JW",76,"Embraer","ERJ-175",
"N234NV",177,"Airbus","A320",
"N234OU",6,"CESSNA","CESSNAT-210N",
"N234WN",143,"THEBOEINGCO","B-737-7H4",
"N235FR",180,"Airbus","320-214",
"N235JQ",76,"Embraer","ERJ-170-200LR",
"N235JQ",76,"Embraer","EMB175",
"N235NN",76,"Embraer","ERJ-175",
"N235NV",177,"Airbus","A320",
"N235WN",143,"THEBOEINGCO","B-737-7H4",
"N236AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N236FR",180,"Airbus","320-214",
"N236JB",100,"Embraer","E190-100",
"N236JQ",76,"Embraer","ERJ-170-200LR",
"N236NN",76,"Embraer","ERJ-175",
"N236WN",143,"THEBOEINGCO","B-737-7H4",
"N23707",124,"BoeingCo","B737-700PAX",
"N23708",124,"BoeingCo","B737-700PAX",
"N23721",124,"BoeingCo","B737-700PAX",
"N237AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N237JQ",76,"Embraer","EMB175",
"N237NN",76,"Embraer","ERJ-175",
"N237PS",50,"GE","CRJ200",
"N237WN",143,"THEBOEINGCO","B-737-7H4",
"N238AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N238FR",180,"Airbus","320-214",
"N238JB",100,"Embraer","E190-100",
"N238NN",76,"Embraer","ERJ-175",
"N238WN",143,"THEBOEINGCO","B-737-7H4",
"N239JB",100,"Embraer","E190-100",
"N239JQ",76,"Embraer","ERJ-170-200LR",
"N239NN",76,"Embraer","ERJ-175",
"N239WN",143,"THEBOEINGCO","B-737-7H4",
"N240JQ",76,"Embraer","ERJ-170-200LR",
"N240NN",76,"Embraer","ERJ-175",
"N240NV",177,"Airbus","A320",
"N240SY",76,"Embraer","ERJ175",
"N240WN",143,"THEBOEINGCO","B-737-7H4",
"N24103",50,"Embraer","EMB-145",
"N241JQ",76,"Embraer","ERJ-170-200LR",
"N241LR",76,"Bombardier","CRJ-900-PSGR",
"N241NN",76,"Embraer","ERJ-175",
"N241NV",177,"Airbus","A320",
"N241PS",50,"GE","CRJ200",
"N241SY",76,"Embraer","ERJ175",
"N241WN",143,"THEBOEINGCO","B-737-7H4",
"N24202",154,"BoeingCo","B737-800PAX",
"N24211",154,"BoeingCo","B737-800PAX",
"N24212",154,"BoeingCo","B737-800PAX",
"N24224",154,"BoeingCo","B737-800PAX",
"N242JQ",76,"Embraer","ERJ-170-200LR",
"N242JS",50,"GE","CRJ200",
"N242LR",76,"Bombardier","CRJ-900-PSGR",
"N242NN",76,"Embraer","ERJ-175",
"N242NV",177,"Airbus","A320",
"N242SY",76,"Embraer","ERJ175",
"N242WN",143,"THEBOEINGCO","B-737-7H4",
"N243JQ",76,"Embraer","ERJ-170-200LR",
"N243LR",76,"Bombardier","CRJ-900-PSGR",
"N243NN",76,"Embraer","ERJ-175",
"N243NV",177,"Airbus","A320",
"N243SY",76,"Embraer","ERJ175",
"N243WN",143,"THEBOEINGCO","B-737-7H4",
"N244JQ",76,"Embraer","ERJ-170-200LR",
"N244LR",76,"Bombardier","CRJ-900-PSGR",
"N244NN",76,"Embraer","ERJ-175",
"N244NV",177,"Airbus","A320",
"N244PS",50,"GE","CRJ200",
"N244SY",76,"Embraer","ERJ175",
"N244WN",143,"THEBOEINGCO","B-737-7H4",
"N245JQ",76,"Embraer","ERJ-170-200LR",
"N245LR",76,"Bombardier","CRJ-900-PSGR",
"N245NN",76,"Embraer","ERJ-175",
"N245NV",177,"Airbus","A320",
"N245PS",50,"GE","CRJ200",
"N245SP",6,"Cessna","CITATNJ",
"N245WN",143,"THEBOEINGCO","B-737-7H4",
"N246JQ",76,"Embraer","ERJ-170-200LR",
"N246LR",76,"Bombardier","CRJ-900-PSGR",
"N246LV",143,"THEBOEINGCO","B-737-7H4",
"N246NN",76,"Embraer","ERJ-175",
"N246NV",186,"Airbus","A320",
"N246PS",50,"GE","CRJ200",
"N246SY",76,"Embraer","ERJ175",
"N24702",124,"BoeingCo","B737-700PAX",
"N24706",124,"BoeingCo","B737-700PAX",
"N24715",124,"BoeingCo","B737-700PAX",
"N24729",124,"BoeingCo","B737-700PAX",
"N24736",124,"BoeingCo","B737-700PAX",
"N247AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N247JB",100,"Embraer","E190-100",
"N247JS",50,"GE","CRJ200",
"N247LR",76,"Bombardier","CRJ-900-PSGR",
"N247NN",76,"Embraer","ERJ-175",
"N247NV",186,"Airbus","A320",
"N247SY",76,"Embraer","ERJ175",
"N247WN",143,"THEBOEINGCO","B-737-7H4",
"N2480H",14,"Gulfstream","G-III/V/550",
"N248AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N248LR",76,"Bombardier","CRJ-900-PSGR",
"N248NN",76,"Embraer","ERJ-175",
"N248NV",186,"Airbus","A320",
"N248PS",50,"GE","CRJ200",
"N248WN",143,"THEBOEINGCO","B-737-7H4",
"N24972",219,"BoeingCo","B787-900PAX",
"N24973",219,"BoeingCo","B787-900PAX",
"N24974",219,"BoeingCo","B787-900PAX",
"N249BA",0,"BOEING","B747-400",
"N249JB",100,"Embraer","E190-100",
"N249LR",76,"Bombardier","CRJ-900-PSGR",
"N249NN",76,"Embraer","ERJ-175",
"N249NV",186,"Airbus","A320",
"N249PS",50,"GE","CRJ200",
"N249WN",143,"THEBOEINGCO","B-737-7H4",
"N24EA",70,"Bombardier","CL600-2C10PSGR",
"N24FE",0,"Bombardier","CHAL-300",
"N250NN",76,"Embraer","ERJ-175",
"N250NV",186,"Airbus","A320",
"N250PS",50,"GE","CRJ200",
"N250SY",76,"Embraer","ERJ175",
"N250UP",0,"Douglas","MD-11F",
"N250WN",143,"THEBOEINGCO","B-737-7H4",
"N25134",50,"Embraer","EMB-145",
"N251AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N251NN",76,"Embraer","ERJ-175",
"N251NV",186,"Airbus","A320",
"N251PS",50,"GE","CRJ200",
"N251SY",76,"Embraer","ERJ175",
"N251UP",0,"Douglas","MD-11F",
"N251WN",143,"THEBOEINGCO","B-737-7H4",
"N25201",154,"BoeingCo","B737-800PAX",
"N252NN",76,"Embraer","ERJ-175",
"N252NV",186,"Airbus","A320",
"N252SY",76,"Embraer","ERJ175",
"N252UP",0,"Douglas","MD-11F",
"N252WN",143,"THEBOEINGCO","B-737-7H4",
"N2534U",276,"BoeingCo","B777-300ERPAX",
"N253AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N253NN",76,"Embraer","ERJ-175",
"N253NV",186,"Airbus","A320",
"N253PS",50,"GE","CRJ200",
"N253SY",76,"Embraer","ERJ175",
"N253UP",0,"Douglas","MD-11F",
"N253WN",143,"THEBOEINGCO","B-737-7H4",
"N254NN",76,"Embraer","ERJ-175",
"N254NV",186,"Airbus","A320",
"N254PS",50,"GE","CRJ200",
"N254SY",76,"Embraer","ERJ175",
"N254UP",0,"Douglas","MD-11F",
"N254WN",143,"THEBOEINGCO","B-737-7H4",
"N255CM",0,"BOEING","767-200",
"N255NN",76,"Embraer","ERJ-175",
"N255NV",186,"Airbus","A320",
"N255SY",76,"Embraer","ERJ175",
"N255UP",0,"Douglas","MD-11F",
"N255WN",143,"THEBOEINGCO","B-737-7H4",
"N256NN",76,"Embraer","ERJ-175",
"N256NV",186,"Airbus","A320",
"N256PS",50,"GE","CRJ200",
"N256SY",76,"Embraer","ERJ175",
"N256UP",0,"Douglas","MD-11F",
"N256WN",143,"THEBOEINGCO","B-737-7H4",
"N25705",124,"BoeingCo","B737-700PAX",
"N257NN",76,"Embraer","ERJ-175",
"N257NV",186,"Airbus","A320",
"N257PS",50,"GE","CRJ200",
"N257SY",76,"Embraer","ERJ175",
"N257UP",0,"Douglas","MD-11F",
"N257WN",143,"THEBOEINGCO","B-737-7H4",
"N258JB",100,"Embraer","E190-100",
"N258NN",76,"Embraer","ERJ-175",
"N258NV",186,"Airbus","A320",
"N258PS",50,"GE","CRJ200",
"N258SY",76,"Embraer","ERJ175",
"N258UP",0,"Douglas","MD-11F",
"N258WN",143,"THEBOEINGCO","B-737-7H4",
"N259NN",76,"Embraer","ERJ-175",
"N259NV",186,"Airbus","A320",
"N259PS",50,"GE","CRJ200",
"N259SY",76,"Embraer","ERJ175",
"N259UP",0,"Douglas","MD-11F",
"N259WN",143,"THEBOEINGCO","B-737-7H4",
"N25CP",13,"Gulfstream","GV",
"N260AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N260JS",50,"GE","CRJ200",
"N260JX",50,"Embraer","EMB-135",
"N260NN",76,"Embraer","ERJ-175",
"N260NV",186,"Airbus","A320",
"N260SY",76,"Embraer","ERJ175",
"N260UP",0,"Douglas","MD-11F",
"N260WN",143,"THEBOEINGCO","B-737-7H4",
"N261JX",50,"Embraer","EMB-135",
"N261NN",76,"Embraer","ERJ-175",
"N261NV",186,"Airbus","A320",
"N261PS",50,"GE","CRJ200",
"N261SY",76,"Embraer","ERJ175",
"N261WN",143,"THEBOEINGCO","B-737-7H4",
"N26208",154,"BoeingCo","B737-800PAX",
"N26210",154,"BoeingCo","B737-800PAX",
"N26215",154,"BoeingCo","B737-800PAX",
"N26226",154,"BoeingCo","B737-800PAX",
"N26232",154,"BoeingCo","B737-800PAX",
"N262JX",50,"Embraer","EMB-135",
"N262NN",76,"Embraer","ERJ-175",
"N262NV",186,"Airbus","A320",
"N262PS",50,"GE","CRJ200",
"N262SY",70,"Embraer","ERJ175",
"N262WN",143,"THEBOEINGCO","B-737-7H4",
"N2639U",276,"BoeingCo","B777-300ERPAX",
"N263AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N263NN",76,"Embraer","ERJ-175",
"N263SG",0,"BOEING","B747-400",
"N263SY",70,"Embraer","ERJ175",
"N263WN",143,"THEBOEINGCO","B-737-7H4",
"N2644U",276,"BoeingCo","B777-300ERPAX",
"N2645U",276,"BoeingCo","B777-300ERPAX",
"N264AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N264LV",143,"THEBOEINGCO","B-737-7H4",
"N264NN",76,"Embraer","ERJ-175",
"N264SY",70,"Embraer","ERJ175",
"N26549",50,"Embraer","EMB-145",
"N265AK",181,"TheBoeingCompany","B737-990ERALLPAX",
"N265JB",100,"Embraer","E190-100",
"N265NN",76,"Embraer","ERJ-175",
